No.	Surah Name	Atishi	Baadi	Aabi	Khaki
1	Fatiha	42	39	6	39
2	Baqarah	9531	8105	2332	5921
3	Aal-e-Imran	5311	4792	1266	3368
4	An-Nisa	5916	5201	1450	3535
5	Maidah	4451	3764	1090	2711
6	Al-Anam	4515	3984	1240	2801
7	Al-Araf	5141	4545	1430	3064
8	Al-Anfal	1929	1742	466	1198
9	Tauba	4057	3455	928	2540
10	Younus	2706	2381	741	1659
11	Hood	2813	2477	728	1681
12	Yousuf	2542	2296	735	1622
13	Raad	1246	1050	339	867
14	Ibrahim	1225	1085	329	851
15	Hijr	976	934	309	608
16	Nahl	2799	2413	715	1809
17	Israel	2261	2018	726	1543
18	Kahf	2400	1949	627	1500
19	Maryam	1327	1283	373	877
20	Taha	1836	1674	582	1219
21	Ambiya	1798	1608	461	1096
22	Hajj	1896	1612	467	1260
23	Mominoon	1621	1409	405	965
24	Noor	2040	1852	458	1315
25	Furqan	1333	1195	399	895
26	Sharaa	1908	1892	558	1195
27	Naml	1722	1496	455	1050
28	Qasas	2043	1936	549	1313
29	Ankabut	1538	1381	383	933
30	Room	1227	1097	345	750
31	Luqman	748	644	186	556
32	Sajdah	578	493	156	309
33	Ahzab	2046	1832	524	1280
34	Saba	1249	1114	359	820
35	Fatir	1169	936	305	781
36	Yaseen	1151	947	269	660
37	Saafaath	1364	1281	346	832
38	Sad	1111	896	287	725
39	Zumar	1707	1480	474	1130
40	Ghafir	1760	1584	491	1203
41	Fussilat	1252	1043	305	721
42	Shura	1259	1124	284	805
43	Zukhraf	1290	1149	347	762
44	Dhukhan	524	502	139	285
45	Jathiyah	736	666	194	435
46	Ahqaf	948	849	246	580
47	Muhammad	945	714	186	550
48	Fath	859	755	251	619
49	Hujurat	544	495	134	337
50	Qaf	483	472	163	370
51	Zariyat	561	487	153	317
52	Tur	483	451	115	257
53	Najm	553	454	121	291
54	Qamar	520	412	170	358
55	Rahman	631	505	173	280
56	Waqia	611	597	163	352
57	Hadid	881	804	228	584
58	Mujadilah	758	646	163	442
59	Hashr	725	583	165	466
60	Mumtahina	567	513	144	321
61	Saff	330	316	83	219
62	Jumuah	283	228	66	176
63	Munafiqun	283	234	82	190
64	Taghabun	382	345	85	262
65	Talaq	410	343	114	313
66	Tahrim	371	369	88	245
67	Mulk	485	414	138	295
68	Qalam	431	430	125	283
69	Haqqah	435	334	106	240
70	Maarij	358	310	74	214
71	Nuh	339	274	104	237
72	Jinn	407	313	96	280
73	Muzzammil	307	256	85	199
74	Muddaththir	368	302	113	238
75	Qiyamah	232	207	89	144
76	Insan	422	318	114	221
77	Mursalat	294	272	83	174
78	Naba	301	240	89	147
79	Naziat	327	192	73	170
80	Abasa	242	154	58	98
81	Takwir	169	127	45	89
82	Infitar	122	99	34	73
83	Mutaffifin	264	258	80	139
84	Inshiqaq	163	145	45	86
85	Buruj	165	146	30	119
86	Tariq	97	60	29	66
87	Ala	97	89	33	76
88	Ghashiyah	146	120	35	80
89	Fajr	212	166	56	144
90	Balad	126	106	28	76
91	Shams	115	52	26	44
92	Layl	101	106	31	74
93	Duha	56	48	19	41
94	Sharh	30	25	16	31
95	Tin	50	52	16	39
96	Alaq	100	84	29	75
97	Qadr	42	22	10	37
98	Bayyinah	147	132	27	90
99	Zalzalah	67	34	16	41
100	Adiyat	56	50	10	49
101	Qariah	74	39	17	28
102	Takathur	33	39	17	33
103	Asr	22	28	3	18
104	Humazah	59	24	8	42
105	Fil	31	26	11	28
106	Quraysh	34	20	2	18
107	Maun	39	43	5	27
108	Kawthar	14	13	5	10
109	Kafirun	30	34	4	27
110	Nasr	29	25	7	19
111	Masad	31	28	5	17
112	Ikhlas	15	10	3	19
113	Falaq	26	15	10	20
114	Nas	27	22	13	18
